Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-1.4537,-6.1327,2.0164,-0.9400,-12.7318,3.5817,-0.2426,-6.8927,-5.6633,-15.7886,-8.4266,-3.4532,-4.1583,46.0989,5.7565,6.0799
7.8125,-0.9235,-5.2807,3.6389,1.2700,-7.0338,2.9531,4.7046,-8.0866,-5.5295,-14.2198,-9.6707,0.9194,-5.8034,16.0189,10.7502,6.9347
15.6250,2.0961,-2.5814,7.1597,1.6039,-2.8618,-1.1132,7.7963,-7.3714,3.5825,-11.2941,-8.1719,5.6358,-4.3249,-20.5973,11.0794,7.1841
23.4375,3.7855,-2.0602,7.8017,2.1508,-7.5448,-0.6127,5.6842,-6.6994,10.4771,-11.8090,-7.3548,4.4045,-4.6836,-17.5943,7.8908,8.5779
31.2500,-1.2220,-4.9573,4.6876,3.8926,-9.4532,3.5184,4.7293,-7.4055,2.6751,-12.6066,-9.3499,0.1152,-3.3517,3.1193,9.0846,9.3003
39.0625,-6.8706,-8.1776,1.0408,3.1252,-8.1807,-0.6640,3.0842,-5.1194,-5.6965,-11.5826,-7.9165,-4.0277,1.7582,37.2971,5.6187,4.1290
46.8750,-5.7029,-12.2217,-1.8977,5.3602,-10.9681,-5.2041,-3.0497,-3.9117,-0.8052,-12.1872,-5.0279,-4.3948,-1.0764,63.6079,-0.4463,0.4843
54.6875,-2.6411,-12.9679,-1.9792,11.1353,-12.5429,-1.9394,-11.7541,-7.0822,4.9634,-11.9215,-4.8342,-2.8932,-5.1407,55.5078,0.9340,0.2015
62.5000,-2.7820,-7.4714,-0.2714,8.5537,-9.1216,-0.3698,-19.7774,-7.5245,7.2131,-3.4412,-1.4226,-1.8707,0.6755,22.8928,6.0152,-1.0087
70.3125,-3.6132,-6.4890,-1.7438,3.9778,-10.5621,-5.3195,-21.6679,-3.7562,8.6242,1.2411,2.7590,-3.2866,-2.6837,36.4476,5.6192,-0.3954
78.1250,-4.5511,-11.3462,1.3414,10.5421,-11.9154,-8.9307,-14.6082,-4.7853,7.7851,-4.8931,-2.3068,-6.1276,-13.8598,51.4548,5.1146,5.8034
85.9375,-8.4944,-8.3471,12.0543,19.4034,-12.2748,-9.8768,-13.4369,-9.6910,3.8600,-10.1192,-8.9993,-9.3590,-9.3318,38.7214,4.6538,8.1549
93.7500,-10.4648,-4.3286,13.9392,20.1582,-15.4135,-8.3326,-20.5154,-11.6134,-0.0107,-10.0432,-8.1638,-8.5957,-3.7088,45.7425,3.2342,7.6469
101.5625,-5.6707,-10.6520,7.1016,17.4186,-14.9011,-6.3644,-20.0284,-9.7442,-2.5501,-10.4102,-6.5408,-8.3370,-11.1054,69.3108,2.9562,9.4430
109.3750,-2.6833,-11.7439,7.3439,20.2054,-13.4492,-8.6691,-15.6468,-7.3057,-3.5740,-7.9761,-7.0963,-12.4342,-11.7312,66.3346,1.5425,7.4417
117.1875,-4.8830,-3.4189,9.3810,25.6996,-15.7513,-7.8369,-14.5025,-6.9015,-2.3704,-2.3873,-6.0939,-9.7983,-6.3995,39.2537,2.5830,4.3126
125.0000,-0.8172,-3.5344,8.3437,26.4417,-11.2044,-1.1002,-10.3579,-7.8877,0.5561,-2.1675,-6.6080,-4.3324,-7.5799,13.0666,7.0794,5.6576
132.8125,6.7884,-7.3841,13.0708,25.3824,-2.6731,1.4000,-5.5114,-8.3796,4.1475,-2.0799,-9.4830,-7.1179,-5.3651,-22.1013,9.6306,7.2390
140.6250,2.7094,-1.6002,14.7969,22.6156,-7.0957,-1.6364,-8.5458,-6.6567,2.1720,2.9256,-6.3534,-6.9207,0.5648,-23.0190,7.2486,4.9944
148.4375,-2.7549,3.3305,9.2340,17.4360,-10.7518,-1.4661,-7.6859,-5.4628,-0.8186,5.1494,-2.4034,1.6259,1.2535,-19.3167,6.6231,4.3236
156.2500,7.1824,3.6167,11.5743,14.4485,-6.1825,-0.4566,-5.9870,-5.9947,4.1380,3.5580,-4.0206,-0.5346,-0.4656,-41.9754,9.3910,4.0555
164.0625,17.2030,7.3001,17.4369,19.4232,-5.6598,-0.0061,-11.4570,-8.0965,13.1301,6.1833,-6.2488,-7.2607,-2.4989,-76.7222,15.3057,5.7317
171.8750,11.0546,10.4989,13.8533,20.8394,-8.6034,1.0738,-13.5701,-7.9894,14.7594,8.6534,-4.7440,-5.4332,0.2826,-77.4029,16.4264,6.8079
179.6875,4.4652,9.9914,11.5335,18.9925,-5.9475,2.4635,-6.3037,-6.9040,12.0674,6.8762,-5.9399,-4.5982,7.6862,-78.5999,13.9442,4.0993
187.5000,7.7251,11.7072,14.4052,27.0500,-2.7671,6.1809,-4.8428,-9.0007,11.6387,8.6336,-8.9707,-5.6212,5.7823,-106.8671,18.1472,2.5900
195.3125,7.0256,14.6562,11.9940,34.0393,-4.5308,10.0977,-11.4614,-10.5462,12.3560,12.7316,-6.7975,-0.9451,-0.2725,-112.3730,20.6894,1.7837
203.1250,1.8531,14.2432,6.9079,35.2720,-7.3128,7.9579,-12.1289,-9.4987,13.8085,10.3624,-5.1769,1.2409,1.8684,-92.4828,12.4767,-2.5946
210.9375,5.1897,11.3138,5.4255,36.4880,-8.2576,3.8024,-11.4099,-7.5793,14.0523,5.8607,-5.9211,-4.6497,0.4857,-62.0996,5.6178,-7.9100
218.7500,9.1804,7.8764,7.3163,39.2063,-3.8821,6.1365,-12.8535,-7.5128,12.1098,5.6381,-7.4433,-10.4270,-5.5054,-53.7658,7.6480,-8.8413
226.5625,4.2547,7.7048,10.3809,35.6465,0.3645,8.6825,-12.2743,-8.4173,11.1826,5.2389,-8.5132,-10.9436,-1.7291,-65.0434,8.4205,-6.0833
234.3750,3.5138,9.3089,11.0034,28.3248,-0.8414,4.8829,-10.8733,-7.9920,12.9194,3.4000,-7.0797,-7.3643,3.1135,-64.7992,6.9717,-1.6396
242.1875,9.2994,8.2701,10.2930,22.0530,-2.1389,0.6814,-12.1671,-5.1721,13.7652,5.8237,-2.5479,-4.4738,-0.0933,-49.6801,7.9914,-1.2772
250.0000,8.3784,9.4014,10.4152,17.7704,0.4409,0.0882,-13.4402,-2.5491,15.1184,13.6568,2.0445,-1.3522,-2.0102,-62.5454,11.4825,-2.7683
257.8125,4.8728,13.8700,7.1284,18.3004,-0.5197,-2.4614,-11.8467,-1.2276,16.8295,16.1302,3.6464,0.7690,-2.5196,-65.2146,13.7253,-0.0824
265.6250,5.7875,12.3484,4.2283,20.6443,-1.7085,-5.3617,-7.0702,-0.9368,17.7804,12.6143,1.6431,-0.5542,-3.4913,-53.9963,14.9944,2.0237
273.4375,4.1322,7.9026,6.2600,20.3658,-2.6865,-5.3726,-6.7396,0.6185,12.6739,12.7750,2.2425,-2.4743,-0.4004,-34.8642,9.6103,-6.1631
281.2500,3.7550,10.1348,7.5127,21.4834,-2.5947,-0.5006,-6.2772,2.0405,8.7400,19.9707,5.4335,3.1127,4.2609,-56.8351,5.5034,-8.4237
