Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-5.9516,-4.0527,1.1894,-9.9731,-9.8045,-8.2646,-9.3343,-14.0591,-8.9072,-13.7031,-10.7415,-1.1183,-5.2280,-5.7058,8.2173,42.3516
7.8125,-4.7416,-6.7295,3.5482,-6.4556,-7.5402,-8.4380,-11.8053,-15.5015,-10.0251,-14.0500,-12.5967,-4.8197,-4.4398,-5.9842,9.8490,41.2268
15.6250,-7.4637,-16.6893,9.2749,-12.4916,-10.1346,-15.0676,-12.7897,-14.7425,-8.9560,-11.0180,-10.4611,-2.3215,-5.7688,-5.3586,6.1100,51.9137
23.4375,-7.0742,-18.4354,-10.6022,-20.8452,-17.7550,-13.7975,-3.6641,-6.0369,-0.0334,-2.3531,-1.0988,8.6617,-1.7173,-8.9263,0.3419,38.0532
31.2500,-4.1620,-7.6103,-1.6307,-11.7296,-12.5279,-9.6214,-8.3149,-11.1113,-3.7074,-10.7806,-7.8889,-0.1988,-1.9936,-8.9275,2.0200,32.7356
39.0625,4.0327,-3.3779,4.0335,-8.0958,-6.9377,-5.5633,-13.0177,-13.8975,-8.7037,-16.2899,-11.9804,-8.1952,-4.1923,-3.1056,1.0468,36.3258
46.8750,-0.0146,-8.8214,7.8553,-14.5408,-7.4110,-8.3021,-13.4889,-14.6179,-13.4630,-14.8871,-12.0877,-7.6242,-6.9591,-3.0504,1.4270,49.9964
54.6875,-3.5661,-8.3022,-5.8229,-13.8338,-13.9221,-7.9708,-10.8203,-9.7836,-7.4872,-5.5919,-5.0681,1.2116,-3.5889,-7.4478,2.3772,36.6693
62.5000,-2.1526,-4.9546,3.3113,-7.9355,-11.0884,-6.9873,-15.8555,-11.7570,-5.8724,-6.9034,-5.5790,0.6566,-4.5210,-5.6559,4.5110,34.8822
70.3125,4.4661,-4.1250,-11.2549,-11.6632,-7.0463,-1.6641,-7.1225,-5.2207,-2.5365,-3.7471,-1.1772,3.2865,-0.9456,-4.2230,2.7463,25.9917
78.1250,2.4429,-4.8375,-12.9871,-11.9440,-5.7099,-5.1728,-4.0633,-5.3957,-6.6461,-4.0312,-3.3845,0.0057,0.0557,-4.3126,5.4266,29.2079
85.9375,-1.3152,-9.4810,-5.1582,-10.4409,-8.1863,-8.6924,-8.0635,-6.4380,-7.3529,-0.1051,-3.9612,-3.4561,-4.1155,-2.3807,12.0102,31.5243
93.7500,-6.7385,-13.1642,-2.4206,-10.1685,-7.9663,-6.9784,-6.6715,-4.5183,-4.4415,4.4285,-4.1682,-8.6125,-8.0298,-4.0414,16.4946,37.6816
101.5625,-9.3060,-8.6667,-1.8863,-2.6580,-4.3514,-8.1653,-2.2530,-4.1418,-3.4992,1.9910,-7.7841,-15.0343,-5.9751,-5.3523,16.0731,37.8049
109.3750,-8.5248,-4.9725,12.9058,1.2576,-1.1306,-12.2564,-6.2101,-8.7727,-6.3358,-4.9351,-12.3209,-18.4053,-8.2673,-1.9122,15.9799,47.5418
117.1875,-6.8874,-4.0587,12.0580,-6.0413,-2.3612,-5.5291,-4.0901,-4.1415,-1.6158,0.2205,-7.6785,-16.7229,-10.6590,-3.1948,16.0057,51.3539
125.0000,-8.1925,-0.7175,13.4042,-5.2813,-2.8890,-1.1931,-0.0740,-1.6235,-0.4711,1.7839,-8.6004,-22.5051,-8.1029,-5.8790,15.0329,56.0240
132.8125,-2.1186,1.1112,6.2102,-1.2390,-3.7223,-2.4745,4.8241,0.9444,-0.0700,2.1886,-7.0216,-20.0836,-0.3570,-0.4412,13.8934,44.0075
140.6250,-1.2710,0.9582,9.2975,-2.2210,-2.8977,-5.7943,1.8665,0.3543,-0.5682,3.1236,-4.8574,-15.5589,-1.0392,3.2395,16.0527,44.7369
148.4375,-2.6942,4.3500,5.9458,-1.7482,-5.7087,-5.9236,-1.1725,3.4000,5.6038,9.2950,-0.1618,-13.8961,-2.7434,0.1114,14.1408,41.9151
156.2500,-1.6746,5.1411,8.0169,0.7141,-5.3238,-9.3467,-3.0900,1.7448,5.2605,7.0765,-2.2152,-16.8837,-2.3983,0.0152,13.4972,44.1801
